id,text,meer,minder,gelijk,overige
11,"/Users/aadovergaag/Desktop/bericht aan ORS.docx

Schiphol faciliteert jaarlijks 500.000 vliegbewegingen. Van deze vliegbewegingen komt bijna 50% voor rekening van KLM. KLM en de andere maatschappijen veroorzaken de overlast, die bij verdere groei alleen maar zal toenemen.
Voorshands kan het aantal vliegbewegingen niet toenemen, omdat de nadelige aspecten onvoldoende teniet gedaan worden.

Wat betreft de aantallen betreft 80% van de vliegbewegingen Europese vluchten. Een substantieel aantal van deze bewegingen heeft betrekking op drie met Hoge- snelheidstreinen bereikbare Europese steden: Londen, Parijs en Frankfurt. Door jaarlijks het aantal vluchten op deze steden met 5-10% te verminderen en te verschuiven naar de trein kan Schiphol een reeks van jaren binnen de huidige 500.000 opereren. Door uitbreiding van het HSL net zullen meer Europese steden met Hoge-snelheidstreinen bereikbaar zijn. Bovendien is er geen verschuiving naar regionale luchthavens nodig, want dat zou alleen maar verschuiven van problemen zijn en vergroten van problemen in die regio?s.",0,0,1,0
12,"? De komende decennia is het onverantwoord om de omvang van het aantal vliegbewegingen op Schiphol toe te laten nemen. Een krimp van het aantal vliegbewegingen is noodzakelijk om een gezonde leefomgeving na te streven.  
? Groei van Schiphol bedreigt de volksgezondheid omdat omwonenden overdag en ?s nachts steeds vaker door het aanzwellende en weer wegstervende geluid van vliegtuigen gehinderd worden en omdat de uitstoot van (ultra) fijnstof en andere schadelijke stoffen toenemen. In 2016 ervoeren 198.000 omwonenden ernstige geluidsoverlast van het vliegverkeer van en naar Schiphol. Schiphol zelf rapporteerde 138.000 ernstig gehinderden; anderhalf keer minder. Ook was de ervaren slaapverstoring in 2016 in werkelijkheid naar schatting 2 keer zo hoog als door Schiphol berekend: plusminus 40.000 in plaats van 19.500. Dat blijkt uit een nieuwe analyse van Hinderbelevingsonderzoeken van GGD?s rondom Schiphol, door de Natuur en Milieufederatie Noord-Holland. 
? Groei van Schiphol doet ernstige afbreuk aan de grote offers die van bedrijven en burgers worden gevraagd om de CO2-uitstoot terug te dringen, omdat kerosine voor onbepaalde tijd de belangrijkste brandstof voor vliegtuigen blijft. 
? Groei van luchtvaart maakt de Nederlandse economie nog meer van fossiele brandstoffen afhankelijk, wat gezien de steeds alarmerende berichtgeving over de ophanden zijnde klimaatverandering onze economie kwetsbaar maakt.",0,1,0,0
13,"? De komende decennia is het onverantwoord om de omvang van het aantal vliegbewegingen op Schiphol toe te laten nemen. Een krimp van het aantal vliegbewegingen is noodzakelijk om een gezonde leefomgeving na te streven.
? Groei van Schiphol bedreigt de volksgezondheid omdat omwonenden overdag en ?s nachts steeds vaker door het aanzwellende en weer wegstervende geluid van vliegtuigen gehinderd worden en omdat de uitstoot van (ultra) fijnstof en andere schadelijke stoffen toenemen. In 2016 ervoeren 198.000 omwonenden ernstige geluidsoverlast van het vliegverkeer van en naar Schiphol. Schiphol zelf rapporteerde 138.000 ernstig gehinderden; anderhalf keer minder. Ook was de ervaren slaapverstoring in 2016 in werkelijkheid naar schatting 2 keer zo hoog als door Schiphol berekend: plusminus 40.000 in plaats van 19.500. Dat blijkt uit een nieuwe analyse van Hinderbelevingsonderzoeken van GGD?s rondom Schiphol, door de Natuur en Milieufederatie Noord-Holland.
? Groei van Schiphol doet ernstige afbreuk aan de grote offers die van bedrijven en burgers worden gevraagd om de CO2-uitstoot terug te dringen, omdat kerosine voor onbepaalde tijd de belangrijkste brandstof voor vliegtuigen blijft.
? Groei van luchtvaart maakt de Nederlandse economie nog meer van fossiele brandstoffen afhankelijk, wat gezien de steeds alarmerende berichtgeving over de ophanden zijnde klimaatverandering onze economie kwetsbaar maakt.",0,1,0,0
14,"? De komende decennia is het onverantwoord om de omvang van het aantal vliegbewegingen op Schiphol toe te laten nemen; een krimp zou meer in de lijn liggen.
? Groei van Schiphol bedreigt de volksgezondheid omdat omwonenden overdag en ?s nachts steeds vaker door het aanzwellende en weer wegstervende geluid van vliegtuigen gehinderd worden en omdat de uitstoot van (ultra) fijnstof en andere schadelijke stoffen toenemen. In 2016 ervoeren 198.000 omwonenden ernstige geluidsoverlast van het vliegverkeer van en naar Schiphol. Schiphol zelf rapporteerde 138.000 ernstig gehinderden; anderhalf keer minder. Ook was de ervaren slaapverstoring in 2016 in werkelijkheid naar schatting 2 keer zo hoog als door Schiphol berekend: plusminus 40.000 in plaats van 19.500. Dat blijkt uit een nieuwe analyse van Hinderbelevingsonderzoeken van GGD?s rondom Schiphol, door de Natuur en Milieufederatie Noord-Holland.
? Groei van Schiphol doet ernstige afbreuk aan de grote offers die van bedrijven en burgers worden gevraagd om de CO2-uitstoot terug te dringen, omdat kerosine voor onbepaalde tijd de belangrijkste brandstof voor vliegtuigen blijft.
? Groei van luchtvaart maakt de Nederlandse economie nog meer van fossiele brandstoffen afhankelijk, wat gezien de steeds alarmerende berichtgeving over de ophanden zijnde klimaatverandering onze economie kwetsbaar maakt.",0,1,0,0
15,"? De komende decennia is het onverantwoord om de omvang van het aantal
vliegbewegingen op Schiphol toe te laten nemen. Een krimp van het aantal
vliegbewegingen is noodzakelijk om een gezonde leefomgeving na te streven.
? Groei van Schiphol bedreigt de volksgezondheid omdat omwonenden overdag en
?s nachts steeds vaker door het aanzwellende en weer wegstervende geluid van
vliegtuigen gehinderd worden en omdat de uitstoot van (ultra) fijnstof en andere
schadelijke stoffen toenemen. In 2016 ervoeren 198.000 omwonenden ernstige
geluidsoverlast van het vliegverkeer van en naar Schiphol. Schiphol zelf
rapporteerde 138.000 ernstig gehinderden; anderhalf keer minder. Ook was de
ervaren slaapverstoring in 2016 in werkelijkheid naar schatting 2 keer zo hoog als
door Schiphol berekend: plusminus 40.000 in plaats van 19.500. Dat blijkt uit een
nieuwe analyse van Hinderbelevingsonderzoeken van GGD?s rondom Schiphol,
door de Natuur en Milieufederatie Noord-Holland.
? Groei van Schiphol doet ernstige afbreuk aan de grote offers die van bedrijven en
burgers worden gevraagd om de CO2-uitstoot terug te dringen, omdat kerosine
voor onbepaalde tijd de belangrijkste brandstof voor vliegtuigen blijft.
? Groei van luchtvaart maakt de Nederlandse economie nog meer van fossiele
brandstoffen afhankelijk, wat gezien de steeds alarmerende berichtgeving over de
ophanden zijnde klimaatverandering onze economie kwetsbaar maakt.",0,1,0,0
16,"? De leefbaarheid rondom Schiphol staat zwaar onder druk en er is weinig hinderbeperking geleverd. (zie vraag 5)
    ? Een effectieve bijdrage aan het klimaatvraagstuk kan vooralsnog alleen via volumebeperking (zie vraag 9)
    ? De WHO (Wereld Gezondheidsorganisatie) heeft heel recent de aanbeveling voor de bescherming tegen geluidshinder verscherpt omdat de negatieve gezondheidsgevolgen groter zijn dan eerder gedacht (zie vraag 5)
    ? Experts verwachten een negatieve invloed van ultrafijnstof op de levensverwachting van omwonenden van Schiphol. Uit voorzorg is op zijn minst een pas op de plaats alvorens de resultaten van het RIVM (Rijks Instituut voor Milieu) onderzoek bekend zijn (zie vraag 9)
    ? Er is een gigantische woningbouwopgave. De spanning tussen wonen en vliegen neemt alleen maar verder toe.  Er is een keuze nodig, wij kiezen voor wonen. (zie vraag 8)
    ? De veiligheid van omwonenden van Schiphol is kleiner dan acceptabel wordt gevonden voor risico's van industri?le activiteiten op de grond. (zie vraag 10)",0,0,1,0
17,"? De leefbaarheid rondom Schiphol staat zwaar onder druk en er is weinig hinderbeperking geleverd. (zie vraag 5)
? Een effectieve bijdrage aan het klimaatvraagstuk kan vooralsnog alleen via volumebeperking (zie vraag 9)
? De WHO (Wereld Gezondheidsorganisatie) heeft heel recent de aanbeveling voor de bescherming tegen geluidshinder verscherpt omdat de negatieve gezondheidsgevolgen groter zijn dan eerder gedacht (zie vraag 5)
? Experts verwachten een negatieve invloed van ultrafijnstof op de levensverwachting van omwonenden van Schiphol. Uit voorzorg is op zijn minst een pas op de plaats alvorens de resultaten van het RIVM (Rijks Instituut voor Milieu) onderzoek bekend zijn (zie vraag 9)
? Er is een gigantische woningbouwopgave. De spanning tussen wonen en vliegen neemt alleen maar verder toe. Er is een keuze nodig, wij kiezen voor wonen. (zie vraag 8)
? De veiligheid van omwonenden van Schiphol is kleiner dan acceptabel wordt gevonden voor risico's van industri?le activiteiten op de grond. (zie vraag 10)",0,1,0,0
18,"? niet verder groeien 
? na jaren de bal-vooruit-spelen, onderhandelen, liegen, doen alsof vliegtuigen stiller zijn geworden en rommelen met meetprocedures/meetgegevens moet S maar op de blaren zitten
? kies eindelijk eens voor een 'disruptive solution' en bouw een luchthaven in zee
? maak een einde aan het ondoorzichtige besturingscircuit zoals die Alderstafel en elkaar bestrijdende of afdekkende instituties als gemeenten en ministerie en vervang die door een parlementair gecontroleerde zakelijke besturingsstructuur",0,0,1,0
19,"?	De komende decennia is het onverantwoord om de omvang van het aantal vliegbewegingen op de huidige banen Schiphol toe te laten nemen; een krimp van het huidige baangebruik en in gebruik neming baan op zee zou meer in de lijn liggen. De groei van Schiphol bedreigt de volksgezondheid omdat omwonenden overdag en ?s nachts steeds vaker door het aanzwellende en weer wegstervende geluid van vliegtuigen gehinderd worden en omdat de uitstoot van (ultra) fijnstof en andere schadelijke stoffen toenemen. In 2016 ervoeren 198.000 omwonenden ernstige geluidsoverlast van het vliegverkeer van en naar Schiphol. Schiphol zelf rapporteerde 138.000 ernstig gehinderden; anderhalf keer minder. Ook was de ervaren slaapverstoring in 2016 in werkelijkheid naar schatting 2 keer zo hoog als door Schiphol berekend: plusminus 40.000 in plaats van 19.500. Dat blijkt uit een nieuwe analyse van Hinderbelevingsonderzoeken van GGD?s rondom Schiphol, door de Natuur en Milieufederatie Noord-Holland. Verder is het aantal vliegbewegingen in het Gooi met ernstig geluidsoverlast het jaar onevenredig toegenomen. Dit moet weer worden teruggebracht naar het oude niveau.",0,1,0,0
20,"?	De komende decennia is het onverantwoord om de omvang van het aantal vliegbewegingen op Schiphol toe te laten nemen; een krimp zou meer in de lijn liggen. 
?	Groei van Schiphol bedreigt de volksgezondheid omdat omwonenden overdag en ?s nachts steeds vaker door het aanzwellende en weer wegstervende geluid van vliegtuigen gehinderd worden en omdat de uitstoot van (ultra) fijnstof en andere schadelijke stoffen toenemen. In 2016 ervoeren 198.000 omwonenden ernstige geluidsoverlast van het vliegverkeer van en naar Schiphol. Schiphol zelf rapporteerde 138.000 ernstig gehinderden; anderhalf keer minder. Ook was de ervaren slaapverstoring in 2016 in werkelijkheid naar schatting 2 keer zo hoog als door Schiphol berekend: plusminus 40.000 in plaats van 19.500. Dat blijkt uit een nieuwe analyse van Hinderbelevingsonderzoeken van GGD?s rondom Schiphol, door de Natuur en Milieufederatie Noord-Holland.
?	Groei van Schiphol doet ernstige afbreuk aan de grote offers die van bedrijven en burgers worden gevraagd om de CO2-uitstoot terug te dringen, omdat kerosine voor onbepaalde tijd de belangrijkste brandstof voor vliegtuigen blijft.
?	Groei van luchtvaart maakt de Nederlandse economie nog meer van fossiele brandstoffen afhankelijk, wat gezien de steeds alarmerende berichtgeving over de ophanden zijnde klimaatverandering onze economie kwetsbaar maakt.",0,1,0,0
21,"?	De komende decennia is het onverantwoord om de omvang van het aantal vliegbewegingen op Schiphol toe te laten nemen; een krimp zou meer in de lijn liggen. 
?	Groei van Schiphol bedreigt de volksgezondheid omdat omwonenden overdag en ?s nachts steeds vaker door het aanzwellende en weer wegstervende geluid van vliegtuigen gehinderd worden en omdat de uitstoot van (ultra) fijnstof en andere schadelijke stoffen toenemen. In 2016 ervoeren 198.000 omwonenden ernstige geluidsoverlast van het vliegverkeer van en naar Schiphol. Schiphol zelf rapporteerde 138.000 ernstig gehinderden; anderhalf keer minder. Ook was de ervaren slaapverstoring in 2016 in werkelijkheid naar schatting 2 keer zo hoog als door Schiphol berekend: plusminus 40.000 in plaats van 19.500. Dat blijkt uit een nieuwe analyse van Hinderbelevingsonderzoeken van GGD?s rondom Schiphol, door de Natuur en Milieufederatie Noord-Holland.
?	Groei van Schiphol doet ernstige afbreuk aan de grote offers die van bedrijven en burgers worden gevraagd om de CO2-uitstoot terug te dringen, omdat kerosine voor onbepaalde tijd de belangrijkste brandstof voor vliegtuigen blijft.
Groei van luchtvaart maakt de Nederlandse economie nog meer van fossiele brandstoffen afhankelijk, wat gezien de steeds alarmerende berichtgeving over de ophanden zijnde klimaatverandering onze economie kwetsbaar maakt.",0,1,0,0
22,"+Te veel van het slechte is gewenst voor zowel geluidsoverlast als luchtverontreiniging.
Zoek een andere bedrijf waar gunstiger resultaten voor hinder en milieu bij voorkomen.",0,0,0,1
23,0 groei en netto reductie co2 footprint per reizigerskilometer.,0,0,1,0
24,"1
Gezien de al veel te grote overlast, zowel qua geluid als vervuiling, zal het aantal vliegbewegingen drastisch omlaag gebracht moeten worden. De mensen op de grond betalen belasting, maar zijn niet afdoende beschermd tegen de overlast. De mensen in de lucht krijgen 'belastingvrij' altijd voorrang. Dat dit nog altijd bestaat is sowieso onbegrijpelijk. En het ergste van alles is de continue leugen en het bedrog over de hoeveelheid geluid die over een enorme oppervlakte rond Schiphol wordt uitgesmeerd. Bron: Prof. Berkhout. Geen enkele bedrijfstak komt daarmee weg. Maar Schiphol wel. Als de overheid Schiphol de hand boven het hoofd houdt ontstaat er nooit echte innovatie waardoor de overlast vermindert.",0,1,0,0
25,"1)	Het verminderen van het aantal vluchtbewegingen en veel meer over de gehele dag verdelen zonder de enorme pieken.
Beter en hoger laten aanvliegen meer glijvluchten en veel minder bochten boven land.
De aanvliegroutes versmallen tot een heldere strook van 500 meter breed
Dan kunnen de burgers daar onder en aan de randen daarvan beter worden beschermd.
Maar geluid op een woning moet gemeten worden met alle aanwezige factoren we moeten stoppen met knippen van factoren want de oren doen dat ook niet. Dus weg trein en vlieg geluid altijd eerlijk samen meten en die uitkomst positief be?nvloeden. Stop met rekenmodellen en onbetrouwbare statistieken dat lost al veel op.
Dan neem je ook plaatsen als Egmond Alkmaar Heiloo mee.",0,1,0,0
26,"1. Geen uitbreiding van het maximum aantal vluchten zoals vastgelegd in het accoord van 2008.
2. Onderzoek starten naar een vliegveld in of nabij de Noordzee en aanvang maken hiervoor gelden te reserveren (rijk, provincie, omliggende gemeenten).
3. Direct staken van alle nachtvluchten tussen 11:00 en 07:00 uur om nastreving betere gezondheidsomstandigheden omwonenden.",0,0,1,0
27,"1.	We houden ons bezig met de verkeerde vraag. 
Gezien de grote problemen die Nederland heeft met het kunnen behalen van klimaatdoelstellingen, zou hier de vraag gesteld moeten worden hoe het aantal vliegbewegingen juist drastisch teruggebracht kan worden. 

Zolang grote vervuilers van het milieu (vliegverkeer, CO2 en fijnstof en zeescheepvaart, NOx, CO2 en fijnstof) niet worden meegerekend bij de klimaatdoelstellingen, wordt de milieuproblematiek nog steeds niet serieus genomen.

Volgens de laatste studies van Deltares zal de zeespiegel mogelijk sneller stijgen dan verwacht. Het KNMI ging er vanuit dat aan het eind van deze eeuw een stijging van maximaal 1 meter zal zijn bereikt. Volgens een nieuwe verkenning van het meteorologisch instituut kan dat hoger uitvallen. Dit houdt verband met nieuwe onderzoeksgegevens over het sneller smelten van de ijskap op Antarctica.",0,1,0,0
28,"1./Het klimaat dwingt de luchtvaart om n? te stoppen met groeien. En in de rijke landen moet de hoeveelheid vliegverkeer snel en substantieel gaan afnemen, mede om een klein beetje groeiruimte te geven aan de nu nog arme landen. Schiphol nu onmiddellijk een definitief plafond van 500.000 vtb en vanaf 2020 jaarlijks 20.000 vtb eraf om de hinderbanen een klein beetje te gaan ontlasten (de groei van het laatste decennium is vooral op de hinderbanen terecht gekomen omdat de Pbaan en Kbaan al vol zaten). 
2./Geen groei op de andere Ned. vliegvelden uiteraard want de klimaatemissies moeten omlaag, ?n snel! en dus geen opening van vliegveld Lelystad. 
3./De luchtvaartsector zal nu eindelijk zijn buiten proporties grote klimaatbelasting moeten erkennen en ernaar handelen.
4./De niet-CO2-klimaatemissies, vooral waterdamp,  van het vliegtuig mogen niet langer genegeerd worden; ze hebben minimaal een even groot klimaateffect als de CO2-emissies van het vliegverkeer (100 jaar gemiddelde zoals met klimaatrekenpartijen gebruikelijk is). Op korte termijn gezien (effect de komende tien-20 jaar, zeer relevant gezien de urgentie door dreigende overschrijding van tiping points als smelten permafrost en van grote ijskappen) is het klimaateffect van de waterdamp misschien wel 3x of 5x zo groot als dat van de tegelijk uitgestoten CO2. 
5./Minder vliegen dus, veel duurder vliegen en alle afstanden die per trein bereikbaar zijn per trein. Begin volgend jaar nog met een forse verschuiving naar de Europese trein. En stop Easyjet. Die moet Schiphol verlaten want verzorgt alleen Europees verkeer; heeft geen mainportfunctie.",0,1,0,0
29,1000000 vluchten,1,0,0,0
30,"16 november 2018

Al 50 jaren woon ik tot volle tevredenheid in Mijdrecht, ondanks alle vliegtuigbewegingen. Tot deze zomer was er soms wel overlast van vliegtuigen, maar over het gehele jaar genomen, was het uiteindelijk niet z? storend, dat er maar eens gereageerd zou moeten worden naar Schiphol. De geluidsoverlast was draagbaar, ook zittend in mijn tuin. Maar soms, als ik dan buiten zat te eten, was het w?l erg. Dan kwam er om ca. 18.00u bijna om de minuut een vliegtuig over (waarschijnlijk vliegtuigen ?in de wacht?). Maar meestal was het na een uurtje voorbij.

Vanaf dit voorjaar en vooral vanaf de zomer echter is het aantal vliegbewegingen in mijn richting vele malen groter dan voorheen, zodanig dat het nu w?l storend is geworden. Er waren ? juist in deze mooie zomer ? dagen, dat ik, buiten in de tuin zittend, naar binnen ging vanwege het lawaai van de vele vliegtuigen. Heel vaak om de paar minuten, soms om de minuut. Nog nooit heb ik op de vliegtuigbewegingen gelet, maar dit jaar werd ik met mijn neus erop gedrukt. Zelfs ?s nachts om 01.30u of 04.30u komt er een vliegtuig met donderend lawaai over. Nog nooit ben ik wakker geworden, maar dit jaar veel vaker.

Als er nu in de toekomst n?g meer vluchten naar/van Schiphol gaan, dan ben ik tegen uitbreiding van het aantal vliegbewegingen. Het zal dan uiterst onaangenaam worden om hier te wonen en zal t.z.t. de huizenprijzen doen dalen.

Huub A.M.Mennen
Briljant 18
3641 XZ MIJDRECHT",0,0,1,0
31,"20 jaar geleden ben ik naar een heerlijk rustigen groen dorpje verhuist, maar rustig is het niet meer.... de laatste jaren woon ik aan de luchtsnelweg van Schiphol! Mijn kwaliteit van leven is behoorlijk gedaald. Slechte nachtrust en overdag niet kunnen converseren door het geluidsoverlast. Ze vliegen om de 2 minuten heel laag over en maken ook nog eens een bocht waardoor er nog meer lawaai is. Meer dan dit ga ik echt niet verdragen, help mij, stop de groei van Schiphol. Tis mooi weest!",0,0,1,0
32,"29-10-2018
Qua geluidsoverlast van vliegtuigen is het sinds 2010 - 2018 een verschrikking in Oegstgeest woonwijk Poelgeest, vanwege het landen op Schiphol! Het begint al in de vroege ochtend om 06:00 uur en houdt pas om ca 11:00 uur op.
Ook in de nacht vanaf ca 01:00 uur vliegen vele vliegtuigen vaak laag met veel lawaai voor landen over de woonwijk. Ik heb gehoord en gelezen dat Schiphol al jaren de omwonenden in de rondom Schiphol liggende dorpen mbt het aantal vliegbewegingen in de maling neemt. De tijd van pappen en nat houden is voorbij er moet nu echt gehandhaaft worden. Ook het economisch aspect van Schiphol zal het moeten ontgelden, de gezondheid van de omwonenden is vele malen belangrijker!
Ik pleit voor een international vliegveld op de noordzee en begin daarmee zsm.

met vriendelijke groet,
Peter Quirijnen
Woonwijk Poelgeest
Oegstgeest",0,0,1,0
33,"4
Rietgans
De grens is nu wel bereikt!
Niet meer vliegtuigbewegingen dan nu
realiseren op Schiphol.",0,0,1,0
34,440000,0,1,0,0
35,"500.000 als maximum handhaven. Passagiers aantal kan op andere manieren groeien.
Door inzet groter vliegtuigen, dus meer passagiers per vliegtuig.
Weren van bussiness jets (weinig passagiers per vliegtuig), kunnen naar Lelystad.
Levert slots op voor 'gewone' vliegtuigen.
Vluchten naar Belgie en Ruhrgebied schrappen, trein is (al dan niet na verbetering) prima alternatief.
Verder sluiting in de nachtelijke uren muv technische / medische noodsituaities",1,0,0,0
36,"500.000 is al t? veel. Uit velerlei oogpunten (klimaat, leefbaarheid, voortbestaan flora en fauna, gezondheid etc) zou het van de gekke zijn als na 2020 de mogelijkheid bestaat tot nog meer vliegtuigbewegingen.",0,0,1,0
37,500.000 is al veel te veel in het dichtstbevolkte gebied van Nederland. Beleid moet om: niet meer inzetten op maximale werkgelegenheid via een luchthaven.,0,1,0,0
38,500.000 is daarna ook echt de max.,0,0,1,0
